Gene	Direction
KCNK13	TopRsq
KCNT1	TopRsq
KLF12	TopRsq
KLF9	TopRsq
LRRC59	TopRsq
LUZP1	TopRsq
MAP3K13	TopRsq
MAP4K2	TopRsq
MMD	TopRsq
MPP1	TopRsq
MTCL1	TopRsq
NKAIN4	TopRsq
NPY1R	TopRsq
NR3C1	TopRsq
OSBPL6	TopRsq
PANX2	TopRsq
PDIK1L	TopRsq
PEA15	TopRsq
PELI3	TopRsq
PGRMC1	TopRsq
PHOSPHO1	TopRsq
PIK3CA	TopRsq
PIK3R3	TopRsq
PLPPR3	TopRsq
PLXDC1	TopRsq
PROKR2	TopRsq
PTPRA	TopRsq
PVALB	TopRsq
RAB37	TopRsq
SCN1A	TopRsq
SCN1B	TopRsq
SCN9A	TopRsq
SCRT1	TopRsq
SCRT2	TopRsq
SHD	TopRsq
SLC45A4	TopRsq
SORL1	TopRsq
SPTSSB	TopRsq
STARD5	TopRsq
SYCP2	TopRsq
SYT17	TopRsq
SYT2	TopRsq
TIMP2	TopRsq
TMEM132E	TopRsq
TTC39B	TopRsq
UPP1	TopRsq
VAMP1	TopRsq
WNT3	TopRsq
ZADH2	TopRsq
ZBTB34	TopRsq
ZNF740	TopRsq
ZYX	TopRsq
